Country_ID,NUTS_ID,Sector_ID,ets_emis_t,type,major
EL,EL54,C23,3352,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL61,C19-C20,310474,Export-exposed (CBAM no help abroad),TRUE
EL,EL61,C23,1159207,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL61,C24,89627,Export-exposed (CBAM no help abroad),TRUE
EL,EL63,C23,745326,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL64,C23,2111231,"Home-market, import-protected (CBAM shields)",FALSE
EL,EL64,C24,3,Export-exposed (CBAM no help abroad),TRUE
EL,EL65,C19-C20,2047197,Export-exposed (CBAM no help abroad),TRUE
EL,EL65,C23,13544,"Home-market, import-protected (CBAM shields)",FALSE
ES,ES11,C19-C20,1177846,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES11,C23,128590,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES11,C24,565563,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES12,C19-C20,56794,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES12,C23,1150637,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES12,C24,4131636,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES13,C19-C20,973587,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES13,C23,493297,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES13,C24,207892,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES21,C19-C20,2147154,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES21,C23,1305808,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES21,C24,557939,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES22,C23,849787,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES22,C24,46975,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES23,C23,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES24,C23,539939,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES24,C24,73161,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES30,C23,1028605,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES41,C19-C20,30483,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES41,C23,1616382,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES41,C24,13812,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES42,C19-C20,2175697,"Home-market, import-protected (CBAM shields)",TRUE
ES,ES42,C23,743056,"Home-market, low-trade (CBAM ~neutral)",TRUE
ES,ES42,C24,0,"Home-market, low-trade (CBAM ~neutral)",TRUE
