NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
BE35,BE,95,0.03686457120682965,1613,2025,59.462553356616226,509771,1.1664561804538944,77.14,nuts2,0.5855149926114613
BG31,BG,99,0.08807829181494661,4542,2025,400.0516014234875,655430,6.103651059968075,31.19,nuts2,0.609148197732307
BG32,BG,99,0.08807829181494661,4542,2025,400.0516014234875,673331,5.941381006124589,28.61,nuts2,0.633741947704631
BG33,BG,151,0.13434163701067617,4542,2025,610.1797153024911,826742,7.380533652608566,36.47,nuts2,0.5087982116700682
BG34,BG,168,0.1494661921708185,4542,2025,678.8754448398577,952383,7.128176845238289,21.71,nuts2,0.6137102025372951
BG41,BG,443,0.39412811387900354,4542,2025,1790.129893238434,2022982,8.848965997910184,37.84,nuts2,0.4225599244303677
BG42,BG,164,0.14590747330960854,4542,2025,662.711743772242,1306492,5.072451601481234,24.99,nuts2,0.7021979099137008
CY00,CY,384,1,193,2025,193,982966,1.9634453277122506,78.09,nuts2,0.5374288552250812
CZ01,CZ,255,0.18888888888888888,1272,2025,240.26666666666665,1397880,1.7187932202096508,91.94,nuts2,0.46447357768764685
CZ02,CZ,139,0.10296296296296296,1272,2025,130.9688888888889,1466215,0.8932447757585954,86.54,nuts2,0.5416737132543439
CZ03,CZ,154,0.11407407407407408,1272,2025,145.10222222222222,1267867,1.1444593338435516,86.65,nuts2,0.5276918135980806
CZ04,CZ,116,0.08592592592592592,1272,2025,109.29777777777777,1101551,0.9922171354551698,75.92,nuts2,0.6023067174786085
CZ05,CZ,231,0.1711111111111111,1272,2025,217.65333333333334,1535886,1.417119065694546,83.81,nuts2,0.5308725584550447
CZ06,CZ,215,0.15925925925925927,1272,2025,202.57777777777778,1746990,1.1595817822527763,84.05,nuts2,0.5430182442969209
CZ07,CZ,133,0.09851851851851852,1272,2025,125.31555555555556,1210498,1.0352396745434984,81.88,nuts2,0.5630609341881501
CZ08,CZ,107,0.07925925925925927,1272,2025,100.81777777777779,1182613,0.8525001651239906,87.62,nuts2,0.5371318614317737
DE11,DE,1270,0.06275943862423404,17306,2025,1086.1148448309943,4167550,2.606123129490934,74.29,nuts1,0.5269749926787175
DE12,DE,833,0.04116426171180075,17306,2025,712.3887131844238,2848413,2.501002183266344,74.29,nuts1,0.5325402225589368
DE13,DE,665,0.03286222573631152,17306,2025,568.7136785926072,2325856,2.445180091083056,74.29,nuts1,0.5354955115527313
DE14,DE,678,0.03350464518679581,17306,2025,579.8313896026882,1904079,3.0452065781025275,74.29,nuts1,0.5037293844922934
DE21,DE,1289,0.06369835935955723,17306,2025,1102.3638070764973,4764548,2.313679717523042,71.79,nuts1,0.5579640611304569
DE22,DE,519,0.025647361138564934,17306,2025,443.8532318640047,1259204,3.524871520929133,71.79,nuts1,0.49384210392707406
DE23,DE,402,0.019865586084206365,17306,2025,343.79383277327537,1121379,3.065813010349537,71.79,nuts1,0.5181452160241464
DE24,DE,422,0.020853923700336036,17306,2025,360.89800355801543,1055758,3.4183781089796663,71.79,nuts1,0.4994799938007197
DE25,DE,498,0.02460960664162878,17306,2025,425.8938525400277,1795909,2.371466775543904,71.79,nuts1,0.554904744471524
DE26,DE,531,0.026240363708242734,17306,2025,454.11573433484875,1318817,3.443356692663567,71.79,nuts1,0.4981575974061305
DE27,DE,662,0.032713975093892074,17306,2025,566.1480529748962,1933313,2.928382796654738,71.79,nuts1,0.5254209375541369
DE30,DE,318,0.01571456809646175,17306,2025,271.95631547736707,3685265,0.7379559284810375,74.49,nuts1,0.6246374801878695
DE40,DE,464,0.022929432694208343,17306,2025,396.8167622059696,2556747,1.5520376564672593,67.32,nuts1,0.6260124004881258
DE50,DE,106,0.005238189365487251,17306,2025,90.65210515912236,704881,1.2860625433104647,64.72,nuts1,0.6562204756647632
DE60,DE,247,0.012205969559201424,17306,2025,211.23650919153982,1862565,1.1341161741552097,77.36,nuts1,0.5858625166485407
DE71,DE,780,0.03854516702905712,17306,2025,667.0626606048626,4039611,1.6513041988569261,69.73,nuts1,0.6058085922654486
