cname,region_code,name,year,EQIregion,nuts_level,NUTS0_code,NUTS1_code,NUTS2_code,NUTS0_name,NUTS1_name,NUTS2_name,EQI,EQI_me,EQI_low_me,EQI_high_me,qualityp,impartialityp,corruptionp,corruption_subPer,corruption_subExp
Bulgaria,BG33,Severoiztochen,2024,1703,2,BG,BG3,BG33,Bulgaria,Severna i Yugoiztochna Bulgaria,Severoiztochen,-.973,.346,-1.319,-.627,-1.406,-.325,-1.049,-1.44514,-2.1903
Bulgaria,BG33,Severoiztochen,2021,1703,2,BG,BG3,BG33,Bulgaria,Severna i Yugoiztochna Bulgaria,Severoiztochen,-1.579,.250652,-1.829652,-1.328348,-1.21,-1.815,-1.538,-2.45737,-2.105
Bulgaria,BG33,Severoiztochen,2010,1703,2,BG,BG3,BG33,Bulgaria,Severna i Yugoiztochna Bulgaria,Severoiztochen,-1.098,.248255,-1.346255,-.8497450000000001,-.517,-1.523,-1.145,,
Bulgaria,BG33,Severoiztochen,2013,1703,2,BG,BG3,BG33,Bulgaria,Severna i Yugoiztochna Bulgaria,Severoiztochen,-.403,.566762,-.969762,.163762,-.481,-.254,-.44,,
Bulgaria,BG34,Yugoiztochen,2024,1704,2,BG,BG3,BG34,Bulgaria,Severna i Yugoiztochna Bulgaria,Yugoiztochen,-1.334,.314578,-1.648578,-1.019422,-1.712,-.948,-1.153,-1.77342,-2.05557
Bulgaria,BG34,Yugoiztochen,2013,1704,2,BG,BG3,BG34,Bulgaria,Severna i Yugoiztochna Bulgaria,Yugoiztochen,-1.729,.377098,-2.106098,-1.351902,-1.913,-2.009,-1.121,,
Bulgaria,BG34,Yugoiztochen,2017,1704,2,BG,BG3,BG34,Bulgaria,Severna i Yugoiztochna Bulgaria,Yugoiztochen,-2.052,.519092,-2.571092,-1.532908,-1.705,-1.831,-2.412,-3.01848,.519092
Bulgaria,BG34,Yugoiztochen,2021,1704,2,BG,BG3,BG34,Bulgaria,Severna i Yugoiztochna Bulgaria,Yugoiztochen,-1.387,.309287,-1.696287,-1.077713,-1.033,-1.571,-1.404,-2.52408,-1.78762
Bulgaria,BG34,Yugoiztochen,2010,1704,2,BG,BG3,BG34,Bulgaria,Severna i Yugoiztochna Bulgaria,Yugoiztochen,-2.151,.368965,-2.519965,-1.782035,-2.656,-2.033,-1.551,,
Bulgaria,BG41,Yugozapaden,2013,1705,2,BG,BG4,BG41,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapaden,-2.634,.506331,-3.140331,-2.127669,-2.208,-3.02,-2.452,,
Bulgaria,BG41,Yugozapaden,2010,1705,2,BG,BG4,BG41,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapaden,-1.886,.348244,-2.234244,-1.537756,-1.144,-2.127,-2.199,,
Bulgaria,BG41,Yugozapaden,2024,1705,2,BG,BG4,BG41,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapaden,-1.926,.349698,-2.275698,-1.576302,-2.16,-1.541,-1.806,-2.21674,-2.82923
Bulgaria,BG41,Yugozapaden,2017,1705,2,BG,BG4,BG41,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapaden,-1.746,.47601,-2.22201,-1.26999,-1.67,-1.539,-1.854,-2.58763,.47601
Bulgaria,BG41,Yugozapaden,2021,1705,2,BG,BG4,BG41,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapaden,-1.793,.354986,-2.147986,-1.438014,-1.646,-1.515,-2.021,-2.38645,-3.07463
Bulgaria,BG42,Yuzhen tsentralen,2017,1706,2,BG,BG4,BG42,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yuzhen tsentralen,-1.423,.302845,-1.725845,-1.120155,-1.167,-2.149,-.8090000000000001,-.781139,.302845
Bulgaria,BG42,Yuzhen tsentralen,2010,1706,2,BG,BG4,BG42,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yuzhen tsentralen,-1.253,.299152,-1.552152,-.9538479999999999,-1.485,-1.224,-.924,,
Bulgaria,BG42,Yuzhen tsentralen,2013,1706,2,BG,BG4,BG42,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yuzhen tsentralen,-1.145,.489159,-1.634159,-.655841,-1.516,-1.135,-.6870000000000001,,
Bulgaria,BG42,Yuzhen tsentralen,2024,1706,2,BG,BG4,BG42,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yuzhen tsentralen,-2.262,.332206,-2.594206,-1.929794,-2.694,-2.293,-1.481,-2.69322,-1.74686
Bulgaria,BG42,Yuzhen tsentralen,2021,1706,2,BG,BG4,BG42,Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,Yuzhen tsentralen,-1.169,.314443,-1.483443,-.854557,-1.202,-1.244,-.9320000000000001,-2.15793,-1.2865
Cyprus,CY,Cyprus,2021,2801,0,CY,,,Kýpros,NA,NA,-.302,.487248,-.7892479999999999,.185248,-.007,-.428,-.438,-1.15615,.90769
Cyprus,CY,Cyprus,2010,2801,0,CY,,,Kýpros,NA,NA,.321,,,,.404,.145,.382,,
Cyprus,CY,Cyprus,2024,2801,0,CY,,,Kýpros,NA,NA,-.556,.54384,-1.09984,-.0121600000000001,-.415,-.488,-.6860000000000001,-1.55546,-1.83715
