"Country_ID","NUTS3_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"DE","DEA56","DEA5","C16-C18",1698,1095
"DE","DEA56","DEA5","C24",40209,42129
"DE","DEA57","DEA5","C16-C18",172248,102735
"DE","DEA57","DEA5","C19-C20",43693,39578
"DE","DEA57","DEA5","C23",19565,16104
"DE","DEA57","DEA5","C24",30340,34959
"DE","DEA58","DEA5","C16-C18",0,0
"DE","DEA58","DEA5","C23",579842,494915
"DE","DEA58","DEA5","C24",14507,9470
"DE","DEA59","DEA5","C16-C18",10870,9002
"DE","DEA59","DEA5","C23",17375,12329
"DE","DEA59","DEA5","C24",25693,19627
"DE","DEA5A","DEA5","C24",165113,138075
"DE","DEA5B","DEA5","C23",2424591,2208348
"DE","DEA5C","DEA5","C23",54191,39200
"DE","DEA5C","DEA5","C24",221369,174476
"DE","DEB11","DEB1","C16-C18",12286,10961
"DE","DEB11","DEB1","C24",48448,40318
"DE","DEB12","DEB1","C23",16076,18821
"DE","DEB13","DEB1","C16-C18",2014,1567
"DE","DEB14","DEB1","C16-C18",14382,9566
"DE","DEB17","DEB1","C16-C18",155917,133273
"DE","DEB17","DEB1","C23",0,0
"DE","DEB17","DEB1","C24",52170,62142
"DE","DEB1A","DEB1","C16-C18",5892,7669
"DE","DEB1A","DEB1","C23",260593,245319
"DE","DEB1B","DEB1","C23",108432,94606
"DE","DEB21","DEB2","C24",9730,13054
"DE","DEB24","DEB2","C23",193528,164793
"DE","DEB34","DEB3","C19-C20",2064834,3583894
"DE","DEB34","DEB3","C23",42767,41195
"DE","DEB35","DEB3","C16-C18",5919,4712
"DE","DEB35","DEB3","C19-C20",0,15661
"DE","DEB35","DEB3","C23",40964,34063
"DE","DEB38","DEB3","C19-C20",0,0
"DE","DEB38","DEB3","C23",44612,31767
"DE","DEB39","DEB3","C19-C20",63873,59112
"DE","DEB3B","DEB3","C23",21192,28887
"DE","DEB3C","DEB3","C16-C18",22000,22760
"DE","DEB3C","DEB3","C23",124647,88970
"DE","DEB3D","DEB3","C23",632401,559995
"DE","DEB3D","DEB3","C24",37878,30255
"DE","DEB3E","DEB3","C16-C18",35504,134116
"DE","DEB3E","DEB3","C23",58803,52469
