"id","Country_ID","activity_id","Sector_ID","nace_id","lat","lon","NUTS3_ID","NUTS_ID","verified","allocatedFree"
"IT_652","IT",20,"C10-C12",10.41,44.4592396,12.2339326,"ITH57","ITH5",66229,33117
"IT_98","IT",20,"C13-C15",13.3,45.8945615,8.7271408,"ITC41","ITC4",0,0
"IT_1224","IT",20,"C10-C12",10.51,45.6431704,9.3381162,"ITC4D","ITC4",0,0
"IT_248","IT",20,"C13-C15",13.2,45.6515835,11.2998001,"ITH32","ITH3",0,0
"IT_1206","IT",20,"C10-C12",10.39,40.780077,14.706957,"ITF35","ITF3",0,0
"IT_424","IT",20,"C23",23.52,42.9508683,12.7014749,"ITI21","ITI2",0,0
"IT_1197","IT",20,"C10-C12",10.39,43.0224274,10.599357,"ITI16","ITI1",6473,2622
"IT_1187","IT",20,"C10-C12",10.39,40.75568,14.65462,"ITF35","ITF3",0,0
"IT_840","IT",20,"C10-C12",11.01,41.745324,13.1513636,"ITI45","ITI4",43,4359
"IT_1185","IT",20,"C10-C12",10.39,40.7362986,14.6795494,"ITF35","ITF3",933,1182
"IT_429","IT",20,"C10-C12",11.01,43.10661,12.44612,"ITI21","ITI2",0,0
"IT_449","IT",20,"C21-C22",22.11,41.7348773,13.1176575,"ITI45","ITI4",0,0
"IT_1179","IT",20,"C10-C12",10.39,40.7964476,14.5460107,"ITF33","ITF3",0,0
"IT_1178","IT",20,"C10-C12",10.39,40.7484731,14.638569,"ITF35","ITF3",0,0
"IT_214","IT",20,"C21-C22",22.11,45.871831,11.0261776,"ITH20","ITH2",0,0
"IT_1174","IT",20,"C10-C12",10.39,40.7670184,14.6997169,"ITF35","ITF3",0,0
"IT_1170","IT",20,"C10-C12",10.39,40.7846998,14.7768178,"ITF35","ITF3",5832,1838
"IT_1040","IT",20,"C10-C12",10.39,40.7434686,14.5214131,"ITF35","ITF3",0,0
"IT_1163","IT",20,"C10-C12",10.81,40.6326552,17.9593566,"ITF44","ITF4",5558,24255
"IT_1120","IT",20,"C13-C15",15.11,45.5632707,11.3849395,"ITH32","ITH3",0,0
"IT_713","IT",20,"C23",23.32,43.0578751,11.6840589,"ITI19","ITI1",0,0
"IT_1123","IT",20,"C10-C12",10.39,40.8625237,14.5507367,"ITF33","ITF3",0,0
"IT_419","IT",20,"C19-C20",20.14,43.5493837,11.5417678,"ITI18","ITI1",34456,42087
"IT_151","IT",20,"C19-C20",20.14,45.7052722,9.739933,"ITC46","ITC4",117556,129408
"IT_1134","IT",20,"C19-C20",20.16,45.7895533,13.2248454,"ITH42","ITH4",0,0
"IT_711","IT",20,"C10-C12",10.39,44.7687376,10.2144014,"ITH52","ITH5",14362,7024
"IT_446","IT",20,"C21-C22",21.1,41.5368624,12.7335137,"ITI44","ITI4",0,0
"IT_154","IT",20,"C19-C20",20.6,45.897201,9.9201035,"ITC46","ITC4",23371,15869
"IT_1095","IT",20,"C10-C12",10.39,44.6326339,11.8243044,"ITH56","ITH5",8192,3173
"IT_1092","IT",20,"C10-C12",10.39,40.7491862,14.5413805,"ITF35","ITF3",0,0
"IT_191","IT",20,"C19-C20",20.14,45.3887504,9.7372308,"ITC4A","ITC4",33844,19552
"IT_1087","IT",20,"C10-C12",10.73,41.011859,17.0021364,"ITF47","ITF4",0,0
